waypoint1	waypoint2	distance_m	duration_s
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Lost World Caverns, Lewisburg, WV	951634	33302
Toltec Mounds, Scott, AR	The Alamo, Alamo Plaza, San Antonio, TX	974447	31930
Pikes Peak, Colorado	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	1210842	43756
Shelburne Farms, Harbor Road, Shelburne, VT	San Andreas Fault, San Benito County, CA	4988674	165195
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Bryce Canyon National Park, Hwy 63, Bryce, UT	4170638	138241
Gateway Arch, Washington Avenue, St Louis, MO	Wright Brothers National Memorial Visitor Center, Manteo, NC	1618482	53471
Carlsbad Caverns National Park, Carlsbad, NM	Graceland, Elvis Presley Boulevard, Memphis, TN	1530542	52213
New Castle Historic District, Delaware	Taliesin, County Road C, Spring Green, Wisconsin	1545080	53821
Gateway Arch, Washington Avenue, St Louis, MO	San Andreas Fault, San Benito County, CA	3243817	103871
White House, Pennsylvania Avenue Northwest, Washington, DC	Mount Vernon, Fairfax County, Virginia	23912	1726
Olympia Entertainment, Woodward Avenue, Detroit, MI	The Alamo, Alamo Plaza, San Antonio, TX	2353130	76666
West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	354930	15250
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Taliesin, County Road C, Spring Green, Wisconsin	760692	25313
Terrace Hill, Grand Avenue, Des Moines, IA	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	1949612	64547
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Bryce Canyon National Park, Hwy 63, Bryce, UT	1823085	64190
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Carlsbad Caverns National Park, Carlsbad, NM	3434325	115412
Shelburne Farms, Harbor Road, Shelburne, VT	Wright Brothers National Memorial Visitor Center, Manteo, NC	1170622	44468
Terrace Hill, Grand Avenue, Des Moines, IA	Liberty Bell, 6th Street, Philadelphia, PA	1737865	57228
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	1997843	69131
Fort Snelling, Tower Avenue, Saint Paul, MN	Taliesin, County Road C, Spring Green, Wisconsin	402693	14603
The Breakers, Ochre Point Avenue, Newport, RI	Ashfall Fossil Bed, Royal, NE	2535060	86188
Columbia River Gorge National Scenic Area, Oregon	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	3113764	100658
USS Alabama, Battleship Parkway, Mobile, AL	Ashfall Fossil Bed, Royal, NE	1889596	67927
Craters of the Moon National Monument & Preserve, Arco, ID	Bryce Canyon National Park, Hwy 63, Bryce, UT	849847	26985
Mount Vernon, Fairfax County, Virginia	Carlsbad Caverns National Park, Carlsbad, NM	2930231	97472
The Breakers, Ochre Point Avenue, Newport, RI	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1569250	55820
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Bryce Canyon National Park, Hwy 63, Bryce, UT	1875561	60587
San Andreas Fault, San Benito County, CA	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	3397300	109016
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1271563	41711
Cape Canaveral, FL	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	1541561	48984
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Acadia National Park, Maine	1826374	62553
Maryland State House, 100 State Cir, Annapolis, MD 21401	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1297516	44123
White House, Pennsylvania Avenue Northwest, Washington, DC	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	550976	20534
Yellowstone National Park, WY 82190	Acadia National Park, Maine	4264590	144874
Yellowstone National Park, WY 82190	Cape Canaveral, FL	3827809	127486
Shelburne Farms, Harbor Road, Shelburne, VT	Bryce Canyon National Park, Hwy 63, Bryce, UT	3938537	131757
Grand Canyon National Park, Arizona	Fort Snelling, Tower Avenue, Saint Paul, MN	2517491	81792
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1147157	39343
White House, Pennsylvania Avenue Northwest, Washington, DC	Congress Hall, Congress Place, Cape May, NJ 08204	300717	12282
Lost World Caverns, Lewisburg, WV	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	666139	22007
Grand Canyon National Park, Arizona	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	4039492	130446
Pikes Peak, Colorado	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	3109610	104029
Maryland State House, 100 State Cir, Annapolis, MD 21401	Congress Hall, Congress Place, Cape May, NJ 08204	284512	11109
San Andreas Fault, San Benito County, CA	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	212841	10044
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1953916	67086
Taliesin, County Road C, Spring Green, Wisconsin	Congress Hall, Congress Place, Cape May, NJ 08204	1655882	57311
Columbia River Gorge National Scenic Area, Oregon	Congress Hall, Congress Place, Cape May, NJ 08204	4589081	149228
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	2450621	83513
Maryland State House, 100 State Cir, Annapolis, MD 21401	Glacier National Park, West Glacier, MT	3601333	121798
Cape Canaveral, FL	The Alamo, Alamo Plaza, San Antonio, TX	1948982	61472
Fort Sumter National Monument, Sullivan's Island, SC	Maryland State House, 100 State Cir, Annapolis, MD 21401	911048	29603
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Glacier National Park, West Glacier, MT	3870144	130706
USS Alabama, Battleship Parkway, Mobile, AL	Liberty Bell, 6th Street, Philadelphia, PA	1783572	58581
New Castle Historic District, Delaware	The Alamo, Alamo Plaza, San Antonio, TX	2736315	88912
Mount Vernon, Fairfax County, Virginia	Liberty Bell, 6th Street, Philadelphia, PA	242317	9392
West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1049651	34176
Mount Vernon, Fairfax County, Virginia	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	957501	34451
The Breakers, Ochre Point Avenue, Newport, RI	Cape Canaveral, FL	2049902	68091
USS Alabama, Battleship Parkway, Mobile, AL	Glacier National Park, West Glacier, MT	3545115	123336
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	2168326	72644
Grand Canyon National Park, Arizona	Liberty Bell, 6th Street, Philadelphia, PA	3731423	120433
Fort Snelling, Tower Avenue, Saint Paul, MN	Glacier National Park, West Glacier, MT	1798041	61836
The Breakers, Ochre Point Avenue, Newport, RI	Fort Snelling, Tower Avenue, Saint Paul, MN	2222722	75011
Grand Canyon National Park, Arizona	French Quarter, New Orleans, LA	2486792	79713
The Breakers, Ochre Point Avenue, Newport, RI	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	145866	6362
Yellowstone National Park, WY 82190	Lost World Caverns, Lewisburg, WV	3138421	106174
Columbia River Gorge National Scenic Area, Oregon	Shelburne Farms, Harbor Road, Shelburne, VT	4676038	154482
Hoover Dam, NV	Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	1715316	57042
Cape Canaveral, FL	Wright Brothers National Memorial Visitor Center, Manteo, NC	1253379	39844
Grand Canyon National Park, Arizona	San Andreas Fault, San Benito County, CA	1082921	37110
Olympia Entertainment, Woodward Avenue, Detroit, MI	Craters of the Moon National Monument & Preserve, Arco, ID	2929304	94506
Yellowstone National Park, WY 82190	Statue of Liberty, Liberty Island, NYC, NY	3524053	119317
San Andreas Fault, San Benito County, CA	Liberty Bell, 6th Street, Philadelphia, PA	4666575	151581
West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	Lost World Caverns, Lewisburg, WV	665677	22868
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Hanford Site, Benton County, WA	1586051	51756
Columbia River Gorge National Scenic Area, Oregon	New Castle Historic District, Delaware	4478280	145738
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1717447	60479
San Andreas Fault, San Benito County, CA	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	5217759	171226
The Breakers, Ochre Point Avenue, Newport, RI	Toltec Mounds, Scott, AR	2273878	76210
USS Alabama, Battleship Parkway, Mobile, AL	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1064711	34273
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Mount Vernon, Fairfax County, Virginia	829832	28988
Fort Sumter National Monument, Sullivan's Island, SC	Pikes Peak, Colorado	2763349	91232
USS Constitution, Boston, MA	Statue of Liberty, Liberty Island, NYC, NY	349747	13538
Yellowstone National Park, WY 82190	French Quarter, New Orleans, LA	2943167	101821
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Glacier National Park, West Glacier, MT	3925920	132503
Cape Canaveral, FL	Ashfall Fossil Bed, Royal, NE	2651557	87039
Mount Vernon, Fairfax County, Virginia	Graceland, Elvis Presley Boulevard, Memphis, TN	1414540	45988
Terrace Hill, Grand Avenue, Des Moines, IA	Shelburne Farms, Harbor Road, Shelburne, VT	1961166	68572
Grand Canyon National Park, Arizona	Olympia Entertainment, Woodward Avenue, Detroit, MI	3086485	100506
New Castle Historic District, Delaware	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	931758	33119
San Andreas Fault, San Benito County, CA	Craters of the Moon National Monument & Preserve, Arco, ID	1361109	46554
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	1616472	51676
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	San Andreas Fault, San Benito County, CA	4976755	161011
White House, Pennsylvania Avenue Northwest, Washington, DC	Graceland, Elvis Presley Boulevard, Memphis, TN	1414096	45923
Terrace Hill, Grand Avenue, Des Moines, IA	USS Constitution, Boston, MA	2099559	69495
Shelburne Farms, Harbor Road, Shelburne, VT	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1582082	56417
New Castle Historic District, Delaware	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	2958549	98612
French Quarter, New Orleans, LA	Wright Brothers National Memorial Visitor Center, Manteo, NC	1710546	54290
Cape Canaveral, FL	Lost World Caverns, Lewisburg, WV	1230707	40941
Cape Canaveral, FL	Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	3247237	103279
White House, Pennsylvania Avenue Northwest, Washington, DC	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1066792	35431
Columbia River Gorge National Scenic Area, Oregon	Terrace Hill, Grand Avenue, Des Moines, IA	2715600	86789
Yellowstone National Park, WY 82190	Glacier National Park, West Glacier, MT	905478	36672
Hoover Dam, NV	The Alamo, Alamo Plaza, San Antonio, TX	2012743	63325
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Pikes Peak, Colorado	989094	34011
Terrace Hill, Grand Avenue, Des Moines, IA	Bryce Canyon National Park, Hwy 63, Bryce, UT	1980517	63790
Toltec Mounds, Scott, AR	Ashfall Fossil Bed, Royal, NE	1276977	43693
Maryland State House, 100 State Cir, Annapolis, MD 21401	Hanford Site, Benton County, WA	4280062	138892
Pikes Peak, Colorado	Craters of the Moon National Monument & Preserve, Arco, ID	1310714	47360
Gateway Arch, Washington Avenue, St Louis, MO	USS Alabama, Battleship Parkway, Mobile, AL	1043727	36006
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	996023	33085
Terrace Hill, Grand Avenue, Des Moines, IA	Maryland State House, 100 State Cir, Annapolis, MD 21401	1679749	55300
Fort Sumter National Monument, Sullivan's Island, SC	Congress Hall, Congress Place, Cape May, NJ 08204	1160225	39786
West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	Maryland State House, 100 State Cir, Annapolis, MD 21401	1103913	37078
Gateway Arch, Washington Avenue, St Louis, MO	Vicksburg National Military Park, Clay Street, Vicksburg, MS	848194	27187
Columbia River Gorge National Scenic Area, Oregon	Hanford Site, Benton County, WA	202197	7337
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Congress Hall, Congress Place, Cape May, NJ 08204	1418239	48215
Toltec Mounds, Scott, AR	Wright Brothers National Memorial Visitor Center, Manteo, NC	1728198	57378
Columbia River Gorge National Scenic Area, Oregon	White House, Pennsylvania Avenue Northwest, Washington, DC	4356141	140922
Yellowstone National Park, WY 82190	Bryce Canyon National Park, Hwy 63, Bryce, UT	962304	36178
Grand Canyon National Park, Arizona	Mount Vernon, Fairfax County, Virginia	3665067	116878
Ashfall Fossil Bed, Royal, NE	The Alamo, Alamo Plaza, San Antonio, TX	1582847	53492
The Alamo, Alamo Plaza, San Antonio, TX	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1607847	54005
White House, Pennsylvania Avenue Northwest, Washington, DC	Maryland State House, 100 State Cir, Annapolis, MD 21401	51172	2474
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Acadia National Park, Maine	2790125	93718
Fort Sumter National Monument, Sullivan's Island, SC	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1155863	37693
The Breakers, Ochre Point Avenue, Newport, RI	Lost World Caverns, Lewisburg, WV	1060206	37101
The Breakers, Ochre Point Avenue, Newport, RI	Craters of the Moon National Monument & Preserve, Arco, ID	4042971	132635
Fort Snelling, Tower Avenue, Saint Paul, MN	C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	723916	23321
French Quarter, New Orleans, LA	Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	2529104	82766
The Breakers, Ochre Point Avenue, Newport, RI	C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	2264052	77720
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Shelburne Farms, Harbor Road, Shelburne, VT	1933261	66430
Congress Hall, Congress Place, Cape May, NJ 08204	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1518228	51485
Pikes Peak, Colorado	Maryland State House, 100 State Cir, Annapolis, MD 21401	2729245	91864
Mount Vernon, Fairfax County, Virginia	USS Constitution, Boston, MA	729479	26805
Shelburne Farms, Harbor Road, Shelburne, VT	Graceland, Elvis Presley Boulevard, Memphis, TN	2060445	71688
Gateway Arch, Washington Avenue, St Louis, MO	Statue of Liberty, Liberty Island, NYC, NY	1531736	52100
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Wright Brothers National Memorial Visitor Center, Manteo, NC	2070353	68479
Columbia River Gorge National Scenic Area, Oregon	French Quarter, New Orleans, LA	3879383	128401
Columbia River Gorge National Scenic Area, Oregon	Pikes Peak, Colorado	1989640	67557
USS Alabama, Battleship Parkway, Mobile, AL	Taliesin, County Road C, Spring Green, Wisconsin	1681531	57182
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4838236	155453
Hoover Dam, NV	USS Constitution, Boston, MA	4427850	143279
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Carlsbad Caverns National Park, Carlsbad, NM	3711814	126494
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Ashfall Fossil Bed, Royal, NE	549019	20219
Craters of the Moon National Monument & Preserve, Arco, ID	Ashfall Fossil Bed, Royal, NE	1480088	56331
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Carlsbad Caverns National Park, Carlsbad, NM	2045404	70788
Glacier National Park, West Glacier, MT	USS Constitution, Boston, MA	4021094	136061
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	The Alamo, Alamo Plaza, San Antonio, TX	1951940	63677
Cape Canaveral, FL	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	377349	13217
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Acadia National Park, Maine	2255618	77176
New Castle Historic District, Delaware	White House, Pennsylvania Avenue Northwest, Washington, DC	145742	6399
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Carlsbad Caverns National Park, Carlsbad, NM	1589047	55574
French Quarter, New Orleans, LA	Hanford Site, Benton County, WA	3838451	127206
San Andreas Fault, San Benito County, CA	Graceland, Elvis Presley Boulevard, Memphis, TN	3200531	102767
Fort Snelling, Tower Avenue, Saint Paul, MN	San Andreas Fault, San Benito County, CA	3294713	108416
Cape Canaveral, FL	San Andreas Fault, San Benito County, CA	4432637	143578
San Andreas Fault, San Benito County, CA	Acadia National Park, Maine	5557263	181432
Grand Canyon National Park, Arizona	Bryce Canyon National Park, Hwy 63, Bryce, UT	232427	10295
Hanford Site, Benton County, WA	Wright Brothers National Memorial Visitor Center, Manteo, NC	4702942	152893
Shelburne Farms, Harbor Road, Shelburne, VT	Glacier National Park, West Glacier, MT	3909201	134383
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Graceland, Elvis Presley Boulevard, Memphis, TN	805016	26910
Fort Snelling, Tower Avenue, Saint Paul, MN	Pikes Peak, Colorado	1621098	52887
Shelburne Farms, Harbor Road, Shelburne, VT	Hanford Site, Benton County, WA	4564119	152054
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	1144699	36460
Hoover Dam, NV	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	2703190	85443
Hoover Dam, NV	Craters of the Moon National Monument & Preserve, Arco, ID	1149083	35910
West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	San Andreas Fault, San Benito County, CA	3619999	116258
San Andreas Fault, San Benito County, CA	Vicksburg National Military Park, Clay Street, Vicksburg, MS	3189358	103002
Lost World Caverns, Lewisburg, WV	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1336292	42858
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Mount Vernon, Fairfax County, Virginia	2204704	72169
Gateway Arch, Washington Avenue, St Louis, MO	Graceland, Elvis Presley Boulevard, Memphis, TN	468206	15100
Columbia River Gorge National Scenic Area, Oregon	Olympia Entertainment, Woodward Avenue, Detroit, MI	3674654	117828
Hoover Dam, NV	Pikes Peak, Colorado	1346909	47449
Fort Snelling, Tower Avenue, Saint Paul, MN	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	2337354	80097
West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	Carlsbad Caverns National Park, Carlsbad, NM	2081182	70180
Craters of the Moon National Monument & Preserve, Arco, ID	USS Constitution, Boston, MA	4066911	132612
Fort Snelling, Tower Avenue, Saint Paul, MN	Lost World Caverns, Lewisburg, WV	1626905	54804
Toltec Mounds, Scott, AR	Hanford Site, Benton County, WA	3358143	106804
Maryland State House, 100 State Cir, Annapolis, MD 21401	Ashfall Fossil Bed, Royal, NE	2139263	72240
Grand Canyon National Park, Arizona	Shelburne Farms, Harbor Road, Shelburne, VT	4087112	135297
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Maryland State House, 100 State Cir, Annapolis, MD 21401	848229	29343
Carlsbad Caverns National Park, Carlsbad, NM	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1998092	67278
Hoover Dam, NV	Glacier National Park, West Glacier, MT	1774949	57002
Grand Canyon National Park, Arizona	Hoover Dam, NV	390505	12870
Grand Canyon National Park, Arizona	Statue of Liberty, Liberty Island, NYC, NY	3838968	124525
Pikes Peak, Colorado	Shelburne Farms, Harbor Road, Shelburne, VT	3189307	108784
Maryland State House, 100 State Cir, Annapolis, MD 21401	Acadia National Park, Maine	1120643	39913
Olympia Entertainment, Woodward Avenue, Detroit, MI	Hanford Site, Benton County, WA	3573878	114917
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Vicksburg National Military Park, Clay Street, Vicksburg, MS	2200235	71851
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Yellowstone National Park, WY 82190	2069144	70841
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Hanford Site, Benton County, WA	2663869	85963
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Hanford Site, Benton County, WA	4548872	147800
Pikes Peak, Colorado	Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	754485	28542
French Quarter, New Orleans, LA	USS Constitution, Boston, MA	2454093	80443
Taliesin, County Road C, Spring Green, Wisconsin	The Alamo, Alamo Plaza, San Antonio, TX	2046331	65676
Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	The Alamo, Alamo Plaza, San Antonio, TX	2788838	87338
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Mount Vernon, Fairfax County, Virginia	1094658	35647
Yellowstone National Park, WY 82190	Hoover Dam, NV	1260922	45107
Taliesin, County Road C, Spring Green, Wisconsin	Acadia National Park, Maine	2310920	79449
Cape Canaveral, FL	Taliesin, County Road C, Spring Green, Wisconsin	2250404	72684
Maryland State House, 100 State Cir, Annapolis, MD 21401	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	919115	32415
Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	Graceland, Elvis Presley Boulevard, Memphis, TN	3375034	106878
Fort Snelling, Tower Avenue, Saint Paul, MN	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3156193	102858
Fort Snelling, Tower Avenue, Saint Paul, MN	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1667139	56099
Acadia National Park, Maine	Wright Brothers National Memorial Visitor Center, Manteo, NC	1492774	55290
Toltec Mounds, Scott, AR	Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	1872657	59934
Grand Canyon National Park, Arizona	Terrace Hill, Grand Avenue, Des Moines, IA	2126579	69511
French Quarter, New Orleans, LA	Taliesin, County Road C, Spring Green, Wisconsin	1729998	55994
Shelburne Farms, Harbor Road, Shelburne, VT	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4850154	159636
Yellowstone National Park, WY 82190	Graceland, Elvis Presley Boulevard, Memphis, TN	2487165	87334
Hanford Site, Benton County, WA	Lost World Caverns, Lewisburg, WV	4081860	130620
West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	Mount Vernon, Fairfax County, Virginia	1078689	36431
Pikes Peak, Colorado	Carlsbad Caverns National Park, Carlsbad, NM	922977	35037
Olympia Entertainment, Woodward Avenue, Detroit, MI	Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	1957406	63307
New Castle Historic District, Delaware	Maryland State House, 100 State Cir, Annapolis, MD 21401	100318	4332
USS Alabama, Battleship Parkway, Mobile, AL	San Andreas Fault, San Benito County, CA	3676539	116823
Fort Sumter National Monument, Sullivan's Island, SC	The Alamo, Alamo Plaza, San Antonio, TX	2061744	66270
Taliesin, County Road C, Spring Green, Wisconsin	Ashfall Fossil Bed, Royal, NE	751773	27473
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Congress Hall, Congress Place, Cape May, NJ 08204	1054409	36791
Cape Canaveral, FL	Liberty Bell, 6th Street, Philadelphia, PA	1618857	52253
Hoover Dam, NV	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	4276900	137924
Hanford Site, Benton County, WA	Statue of Liberty, Liberty Island, NYC, NY	4388894	142739
Pikes Peak, Colorado	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1489713	50242
Gateway Arch, Washington Avenue, St Louis, MO	The Alamo, Alamo Plaza, San Antonio, TX	1453921	48847
Olympia Entertainment, Woodward Avenue, Detroit, MI	USS Constitution, Boston, MA	1157988	39633
Glacier National Park, West Glacier, MT	Bryce Canyon National Park, Hwy 63, Bryce, UT	1475714	48077
Maryland State House, 100 State Cir, Annapolis, MD 21401	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4568737	146364
Gateway Arch, Washington Avenue, St Louis, MO	Acadia National Park, Maine	2325429	78947
Fort Snelling, Tower Avenue, Saint Paul, MN	Gateway Arch, Washington Avenue, St Louis, MO	846145	30039
USS Alabama, Battleship Parkway, Mobile, AL	Mount Vernon, Fairfax County, Virginia	1538445	49614
Congress Hall, Congress Place, Cape May, NJ 08204	Ashfall Fossil Bed, Royal, NE	2345723	79107
Fort Sumter National Monument, Sullivan's Island, SC	Lost World Caverns, Lewisburg, WV	690404	24393
West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	199119	9047
Fort Sumter National Monument, Sullivan's Island, SC	San Andreas Fault, San Benito County, CA	4281408	138391
Toltec Mounds, Scott, AR	Congress Hall, Congress Place, Cape May, NJ 08204	1929321	64543
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	San Andreas Fault, San Benito County, CA	4209964	136778
Yellowstone National Park, WY 82190	White House, Pennsylvania Avenue Northwest, Washington, DC	3376611	114430
Fort Snelling, Tower Avenue, Saint Paul, MN	USS Alabama, Battleship Parkway, Mobile, AL	1867680	64839
Hanford Site, Benton County, WA	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	1214774	44179
The Breakers, Ochre Point Avenue, Newport, RI	USS Alabama, Battleship Parkway, Mobile, AL	2214617	74419
Grand Canyon National Park, Arizona	Pikes Peak, Colorado	973994	38632
Grand Canyon National Park, Arizona	Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	1591868	52279
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Graceland, Elvis Presley Boulevard, Memphis, TN	1963583	64653
New Castle Historic District, Delaware	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1381471	48008
Terrace Hill, Grand Avenue, Des Moines, IA	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	2891033	91458
Maryland State House, 100 State Cir, Annapolis, MD 21401	Statue of Liberty, Liberty Island, NYC, NY	346531	12369
Hanford Site, Benton County, WA	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	3072832	99463
Taliesin, County Road C, Spring Green, Wisconsin	Mount Vernon, Fairfax County, Virginia	1444824	49833
San Andreas Fault, San Benito County, CA	Statue of Liberty, Liberty Island, NYC, NY	4774120	155672
Taliesin, County Road C, Spring Green, Wisconsin	Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	1208996	40501
Fort Sumter National Monument, Sullivan's Island, SC	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	1793139	60927
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Wright Brothers National Memorial Visitor Center, Manteo, NC	905467	34602
Grand Canyon National Park, Arizona	Ashfall Fossil Bed, Royal, NE	1845320	64353
Gateway Arch, Washington Avenue, St Louis, MO	Shelburne Farms, Harbor Road, Shelburne, VT	1779880	62873
The Breakers, Ochre Point Avenue, Newport, RI	Terrace Hill, Grand Avenue, Des Moines, IA	2075619	69518
